
For documentation, see idn-chars.html

#*** Script: LATIN ***

# Atomic
01D0          ; LATIN ; Decomposable # L& (ǐ) LATIN SMALL LETTER I WITH CARON
00EF          ; LATIN ; Decomposable # L& (ï) LATIN SMALL LETTER I WITH DIAERESIS
1E2F          ; LATIN ; Decomposable # L& (ḯ) LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE
0129          ; LATIN ; Decomposable # L& (ĩ) LATIN SMALL LETTER I WITH TILDE
012F          ; LATIN ; Decomposable # L& (į) LATIN SMALL LETTER I WITH OGONEK
012B          ; LATIN ; Decomposable # L& (ī) LATIN SMALL LETTER I WITH MACRON
1EC9          ; LATIN ; Decomposable # L& (ỉ) LATIN SMALL LETTER I WITH HOOK ABOVE
0209          ; LATIN ; Decomposable # L& (ȉ) LATIN SMALL LETTER I WITH DOUBLE GRAVE
020B          ; LATIN ; Decomposable # L& (ȋ) LATIN SMALL LETTER I WITH INVERTED BREVE
1ECB          ; LATIN ; Decomposable # L& (ị) LATIN SMALL LETTER I WITH DOT BELOW
1E2D          ; LATIN ; Decomposable # L& (ḭ) LATIN SMALL LETTER I WITH TILDE BELOW
0135          ; LATIN ; Decomposable # L& (ĵ) LATIN SMALL LETTER J WITH CIRCUMFLEX
01F0          ; LATIN ; Decomposable # L& (ǰ) LATIN SMALL LETTER J WITH CARON
1E31          ; LATIN ; Decomposable # L& (ḱ) LATIN SMALL LETTER K WITH ACUTE
01E9          ; LATIN ; Decomposable # L& (ǩ) LATIN SMALL LETTER K WITH CARON
0137          ; LATIN ; Decomposable # L& (ķ) LATIN SMALL LETTER K WITH CEDILLA
1E33          ; LATIN ; Decomposable # L& (ḳ) LATIN SMALL LETTER K WITH DOT BELOW
1E35          ; LATIN ; Decomposable # L& (ḵ) LATIN SMALL LETTER K WITH LINE BELOW
013A          ; LATIN ; Decomposable # L& (ĺ) LATIN SMALL LETTER L WITH ACUTE
013E          ; LATIN ; Decomposable # L& (ľ) LATIN SMALL LETTER L WITH CARON
013C          ; LATIN ; Decomposable # L& (ļ) LATIN SMALL LETTER L WITH CEDILLA
1E37          ; LATIN ; Decomposable # L& (ḷ) LATIN SMALL LETTER L WITH DOT BELOW
1E39          ; LATIN ; Decomposable # L& (ḹ) LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
